game_id,time_control,num_plies,white_s_att,black_s_att,white_lgbm_a0g,black_lgbm_a0g,white_detector_a3g_seed0,black_detector_a3g_seed0,white_cnn_bilstm_a4,black_cnn_bilstm_a4
2019-06_game_0028124,bullet,97,172.0778,301.5569,0.755124,0.410352,0.738441,0.358102,0.762361,0.531489
2023-05_game_0029847,bullet,46,151.3033,158.9434,0.397938,0.537581,0.239309,0.785987,0.151028,0.500804
2019-03_game_0021342,bullet,39,223.3454,223.9784,0.308231,0.241327,0.142491,0.135259,0.356526,0.128302
2019-02_game_0012280,bullet,65,629.2957,650.6053,0.777474,0.385854,0.409286,0.220468,0.854671,0.268807
2019-01_game_0006729,bullet,63,139.4782,184.0999,0.367768,0.395152,0.2279,0.39555,0.53277,0.278035
2019-06_game_0025357,bullet,48,687.428,118.6907,0.346684,0.7903,0.20834,0.562187,0.457361,0.79297
2019-01_game_0007678,bullet,99,255.1157,194.295,0.387918,0.475818,0.374248,0.489212,0.403899,0.451059
2019-06_game_0008724,bullet,50,468.287,286.4034,0.56255,0.490158,0.433754,0.234647,0.744168,0.572301
2019-02_game_0019877,bullet,98,221.6046,235.0237,0.58841,0.416693,0.382539,0.445286,0.661157,0.627455
2019-02_game_0020309,bullet,76,231.5997,205.3474,0.498783,0.678215,0.444522,0.386823,0.247202,0.346703
2019-06_game_0011556,bullet,60,243.5367,200.3759,0.410264,0.446431,0.233197,0.539854,0.479942,0.656835
2019-05_game_0008552,bullet,64,200.7212,176.8725,0.360912,0.544055,0.22267,0.320082,0.243111,0.531499
2019-03_game_0015421,bullet,34,289.719,296.3677,0.314323,0.418826,0.137064,0.770107,0.192065,0.398419
2019-02_game_0027775,bullet,89,242.9334,302.5439,0.505657,0.369598,0.384402,0.365613,0.358949,0.285926
2019-04_game_0002717,bullet,59,145.413,160.1145,0.392281,0.716625,0.245561,0.159,0.502186,0.343984
2019-06_game_0001616,bullet,35,123.6266,114.95,0.535507,0.476399,0.162247,0.120202,0.800966,0.248904
2019-06_game_0023446,bullet,23,259.2838,232.7495,0.186623,0.172499,0.086972,0.046254,0.351686,0.212445
